2023-07-28 10:27:47.4118|0|INFO|Microsoft.Hosting.Lifetime|Content root path: /Users/sbucheaclaudiu/RiderProjects/SystemTicket/WebApplication1/ |url: |action: 
2023-07-28 10:28:42.8539|0|ERROR|WebApplication1.Middleware.ExceptionHandlerMiddleware|Serialization and deserialization of 'System.Action' instances is not supported. Path: $.MoveNextAction. |url: https://localhost/api/Event/Patch|action: Patch
2023-07-28 10:29:06.0346|0|ERROR|WebApplication1.Middleware.ExceptionHandlerMiddleware|Serialization and deserialization of 'System.Action' instances is not supported. Path: $.MoveNextAction. |url: https://localhost/api/Event/Patch|action: Patch
2023-07-28 10:29:10.2423|0|ERROR|WebApplication1.Middleware.ExceptionHandlerMiddleware|Serialization and deserialization of 'System.Action' instances is not supported. Path: $.MoveNextAction. |url: https://localhost/api/Event/Patch|action: Patch
2023-07-28 10:30:50.5636|0|INFO|Microsoft.Hosting.Lifetime|Application is shutting down... |url: |action: 
2023-07-28 10:30:52.7467|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: https://localhost:7014 |url: |action: 
2023-07-28 10:30:52.7528|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5065 |url: |action: 
2023-07-28 10:30:52.7528|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2023-07-28 10:30:52.7528|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2023-07-28 10:30:52.7528|0|INFO|Microsoft.Hosting.Lifetime|Content root path: /Users/sbucheaclaudiu/RiderProjects/SystemTicket/WebApplication1/ |url: |action: 
2023-07-28 10:31:09.6294|0|ERROR|WebApplication1.Middleware.ExceptionHandlerMiddleware|Serialization and deserialization of 'System.Action' instances is not supported. Path: $.MoveNextAction. |url: https://localhost/api/Event/Patch|action: Patch
2023-07-28 10:33:17.2304|0|ERROR|WebApplication1.Middleware.ExceptionHandlerMiddleware|'Event' with id '23' was not found! |url: https://localhost/api/Event/GetById|action: GetById
2023-07-28 10:33:21.1838|0|INFO|Microsoft.Hosting.Lifetime|Application is shutting down... |url: |action: 
2023-07-28 10:33:23.3990|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: https://localhost:7014 |url: |action: 
2023-07-28 10:33:23.4051|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: http://localhost:5065 |url: |action: 
2023-07-28 10:33:23.4052|0|INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2023-07-28 10:33:23.4052|0|INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2023-07-28 10:33:23.4052|0|INFO|Microsoft.Hosting.Lifetime|Content root path: /Users/sbucheaclaudiu/RiderProjects/SystemTicket/WebApplication1/ |url: |action: 
2023-07-28 10:33:38.9213|0|ERROR|WebApplication1.Middleware.ExceptionHandlerMiddleware|Serialization and deserialization of 'System.Action' instances is not supported. Path: $.MoveNextAction. |url: https://localhost/api/Event/Patch|action: Patch
2023-07-28 10:35:42.2119|0|INFO|Microsoft.Hosting.Lifetime|Application is shutting down... |url: |action: 
2023-07-28 10:35:44.3151|14|INFO|Microsoft.Hosting.Lifetime|Now listening on: https://localhost:7014 |url: |action: 
